"ST","Sample","clonal_complex"
"1","S15_trimmed","cc1"
"1","S18_trimmed","cc1"
"1","S3_trimmed","cc1"
"1","S83_trimmed","cc1"
"10","S100_trimmed","cc12"
"10","S28_trimmed","cc12"
"10","S76_trimmed","cc12"
"109","S61_trimmed","cc17"
"109","S6_trimmed","cc17"
"1470","S13_trimmed","cc17"
"1470","S26_trimmed","cc17"
"1470","S27_trimmed","cc17"
"1563*","S47_trimmed",NA
"17","S14_trimmed","cc17"
"17","S19_trimmed","cc17"
"17","S22_trimmed","cc17"
"17","S23_trimmed","cc17"
"17","S24_trimmed","cc17"
"17","S2_trimmed","cc17"
"17","S31_trimmed","cc17"
"17","S32_trimmed","cc17"
"17","S33_trimmed","cc17"
"17","S34_trimmed","cc17"
"17","S38_trimmed","cc17"
"17","S41_trimmed","cc17"
"17","S42_trimmed","cc17"
"17","S43_trimmed","cc17"
"17","S48_trimmed","cc17"
"17","S49_trimmed","cc17"
"17","S50_trimmed","cc17"
"17","S52_trimmed","cc17"
"17","S53_trimmed","cc17"
"17","S56_trimmed","cc17"
"17","S57_trimmed","cc17"
"17","S58_trimmed","cc17"
"17","S59_trimmed","cc17"
"17","S60_trimmed","cc17"
"17","S62_trimmed","cc17"
"17","S63_trimmed","cc17"
"17","S66_trimmed","cc17"
"17","S67_trimmed","cc17"
"17","S68_trimmed","cc17"
"17","S70_trimmed","cc17"
"17","S71_trimmed","cc17"
"17","S73_trimmed","cc17"
"17","S75_trimmed","cc17"
"17","S79_trimmed","cc17"
"17","S80_trimmed","cc17"
"17","S82_trimmed","cc17"
"17","S87_trimmed","cc17"
"17","S99_trimmed","cc17"
"17","S9_trimmed","cc17"
"17*","S8_trimmed",NA
"1747","S54_trimmed","cc23"
"19","S17_trimmed","cc19"
"19","S25_trimmed","cc19"
"19","S5_trimmed","cc19"
"19","S69_trimmed","cc19"
"19","S88_trimmed","cc19"
"23","S10_trimmed","cc23"
"23","S12_trimmed","cc23"
"23","S16_trimmed","cc23"
"23","S1_trimmed","cc23"
"23","S20_trimmed","cc23"
"23","S21_trimmed","cc23"
"23","S29_trimmed","cc23"
"23","S30_trimmed","cc23"
"23","S39_trimmed","cc23"
"23","S40_trimmed","cc23"
"23","S46_trimmed","cc23"
"23","S51_trimmed","cc23"
"23","S77_trimmed","cc23"
"23","S78_trimmed","cc23"
"23","S7_trimmed","cc23"
"23","S89_trimmed","cc23"
"23","S92_trimmed","cc23"
"23","S93_trimmed","cc23"
"23","S94_trimmed","cc23"
"23","S97_trimmed","cc23"
"28","S84_trimmed","cc19"
"28","S95_trimmed","cc19"
"28","S96_trimmed","cc19"
"31","S90_trimmed","cc17"
"31","S91_trimmed","cc17"
"335","S36_trimmed","cc19"
"459","S44_trimmed","cc459"
"459","S45_trimmed","cc459"
"459","S65_trimmed","cc459"
"459","S74_trimmed","cc459"
"8","S4_trimmed","cc12"
"8","S55_trimmed","cc12"
"8","S72_trimmed","cc12"
"8","S98_trimmed","cc12"
"860","S85_trimmed","cc17"
"88","S37_trimmed","cc23"
"88","S86_trimmed","cc23"
"88*","S11_trimmed",NA
"NF","S64_trimmed",NA
"NF*","S35_trimmed",NA
